gameVersion,gameType,gameMode,gameId,championName,damageDealtToObjectives,damageDealtToTurrets,totalDamageDealtToChampions,win,kills,deaths,assists,damagePerMinute,kda,killParticipation
14.1.553.2414,MATCHED_GAME,CLASSIC,4893653169,Senna,7978,2930,19380,True,1,7,27,622.0205222197086,4.0,0.5384615384615384
14.1.553.2414,MATCHED_GAME,CLASSIC,4893704845,Ahri,7875,6116,32537,True,13,6,7,927.0690583765426,3.3333333333333335,0.4166666666666667
14.1.553.2414,MATCHED_GAME,CLASSIC,4893753583,Zyra,2220,0,20743,False,2,10,8,689.2664056217627,1.0,0.625
14.1.553.2414,MATCHED_GAME,CLASSIC,4894656844,Ahri,1864,1864,4911,False,1,4,0,270.2039485546761,0.25,0.14285714285714285
14.1.553.2414,MATCHED_GAME,CLASSIC,4894691002,Ahri,3123,3123,8917,True,1,3,2,488.81733506421864,1.0,0.1111111111111111
14.1.553.2414,MATCHED_GAME,CLASSIC,4894720535,Senna,7727,2331,24649,True,5,18,31,556.832710624768,2.0,0.5538461538461539
14.1.553.2414,MATCHED_GAME,CLASSIC,4894892823,Sona,1791,152,5975,True,0,4,12,298.75918788876623,3.0,0.4444444444444444
14.1.553.2414,MATCHED_GAME,CLASSIC,4894918421,Ahri,464,464,22669,False,4,11,7,648.8143340251452,1.0,0.3548387096774194
14.1.553.2414,MATCHED_GAME,CLASSIC,4895561459,Ahri,6363,5442,13160,True,2,5,5,435.5872061226013,1.4,0.20588235294117646
14.1.553.2414,MATCHED_GAME,CLASSIC,4895820317,Tristana,25653,9265,23352,False,5,11,4,662.6166316955916,0.8181818181818182,0.32142857142857145
14.1.553.2414,MATCHED_GAME,CLASSIC,4896140378,Ahri,11372,9614,32386,True,6,6,8,1082.2963116639717,2.3333333333333335,0.4117647058823529
14.1.553.2414,MATCHED_GAME,CLASSIC,4896156273,Ahri,7062,7062,23299,True,4,9,11,671.395563725114,1.6666666666666667,0.3125
14.1.553.2414,MATCHED_GAME,CLASSIC,4896188383,Ahri,5325,5325,33655,True,8,8,6,1103.0560720909084,1.75,0.35
14.1.553.2414,MATCHED_GAME,CLASSIC,4896613468,Ahri,8225,5472,27787,False,6,10,5,940.9262403247847,1.1,0.4782608695652174
14.1.553.2414,MATCHED_GAME,CLASSIC,4898074789,Ahri,6341,6341,29346,False,6,11,4,906.7039426138786,0.9090909090909091,0.5882352941176471
14.1.553.2414,MATCHED_GAME,CLASSIC,4898104692,Ezreal,30797,8971,55557,True,10,8,9,1279.0545028263655,2.375,0.5428571428571428
14.1.553.2414,MATCHED_GAME,CLASSIC,4899200055,Ahri,2391,2391,16173,False,4,8,2,593.2739908927837,0.75,0.3333333333333333
14.1.553.2414,MATCHED_GAME,CLASSIC,4899468169,Senna,14345,4323,25427,True,5,10,20,731.7697128620051,2.5,0.5555555555555556
14.1.553.2414,MATCHED_GAME,CLASSIC,4899491402,Lucian,0,0,630,True,1,0,1,355.2314706182515,2.0,0.6666666666666666
14.1.553.2414,MATCHED_GAME,CLASSIC,4899499297,Lucian,21009,1920,28311,False,7,14,9,681.8236148504532,1.1428571428571428,0.32653061224489793
14.1.553.2414,MATCHED_GAME,CLASSIC,4899772067,Morgana,2077,1487,10323,True,1,2,19,546.4273553645373,10.0,0.7407407407407407
14.1.553.2414,MATCHED_GAME,CLASSIC,4899797328,Renata,12526,390,14045,True,3,6,15,420.9618603595477,3.0,0.5806451612903226
14.1.553.2414,MATCHED_GAME,CLASSIC,4900008093,Sona,399,0,9153,False,0,10,15,261.35393804580525,1.5,0.5769230769230769
14.1.553.2414,MATCHED_GAME,CLASSIC,4900067881,Ahri,10151,2990,19371,True,4,3,9,862.0513654133142,4.333333333333333,0.5
14.1.553.2414,MATCHED_GAME,CLASSIC,4900098325,Ahri,2838,1024,11438,False,2,5,4,511.68907033495015,1.2,0.3157894736842105
14.1.553.2414,MATCHED_GAME,CLASSIC,4900211480,Ahri,3686,565,14863,False,1,4,2,520.9033628454519,0.75,0.25
14.1.553.2414,MATCHED_GAME,CLASSIC,4900864191,Ahri,3271,2722,41792,False,15,10,6,1218.8640879534075,2.1,0.5384615384615384
14.1.553.2414,MATCHED_GAME,CLASSIC,4901782066,Morgana,1791,1791,11599,True,7,1,8,746.6959920679767,15.0,0.6
14.2.555.1545,MATCHED_GAME,CLASSIC,4902515753,Ahri,363,0,7342,False,1,6,0,394.02617112056816,0.16666666666666666,0.07692307692307693
14.2.555.1545,MATCHED_GAME,CLASSIC,4902535600,Ahri,5444,5022,11261,False,5,5,3,545.8611929142027,1.6,0.8
14.2.555.1545,MATCHED_GAME,CLASSIC,4902570781,Alistar,0,0,0,False,0,0,0,0.0,0.0,
14.2.555.1545,MATCHED_GAME,CLASSIC,4902736504,Ahri,9217,7116,18061,False,5,8,4,555.6370532064744,1.125,0.32142857142857145
14.2.555.1545,MATCHED_GAME,CLASSIC,4902781787,Ahri,6480,6368,10923,True,1,6,1,471.90840601650933,0.3333333333333333,0.07407407407407407
14.2.555.1545,MATCHED_GAME,CLASSIC,4902803108,Zac,12091,0,20938,False,3,6,7,686.7290903367484,1.6666666666666667,0.625
14.2.556.584,MATCHED_GAME,CLASSIC,4903323291,Senna,984,984,13255,False,1,10,4,484.30716631641747,0.5,0.2777777777777778
14.2.556.3141,MATCHED_GAME,CLASSIC,4904843825,Talon,853,853,6244,False,3,6,1,375.8652442973166,0.6666666666666666,0.4
14.2.556.3141,MATCHED_GAME,CLASSIC,4904854432,Ahri,8893,2941,28150,True,5,11,17,808.4413349770208,2.0,0.41509433962264153
14.2.556.3141,MATCHED_GAME,CLASSIC,4905043110,Senna,9355,4136,35970,False,5,13,17,1017.6706857635237,1.6923076923076923,0.5365853658536586
14.2.556.3141,MATCHED_GAME,CLASSIC,4905083246,Seraphine,1327,205,4677,True,2,1,1,373.8885148648088,3.0,0.42857142857142855
14.2.556.3141,MATCHED_GAME,CLASSIC,4905101448,Janna,4656,2598,11733,True,1,6,21,427.0042330998365,3.6666666666666665,0.5641025641025641
14.2.556.3141,MATCHED_GAME,CLASSIC,4905196852,Morgana,2458,456,14740,False,1,5,8,565.8152743517753,1.8,0.6428571428571429
14.2.556.3141,MATCHED_GAME,CLASSIC,4905247282,Senna,2542,2381,35877,False,3,9,16,903.9045964121561,2.111111111111111,0.5428571428571428
14.2.556.3141,MATCHED_GAME,CLASSIC,4905305483,Ahri,3086,3086,25232,False,8,13,7,838.3395213259131,1.1538461538461537,0.5357142857142857
14.2.556.3141,MATCHED_GAME,CLASSIC,4906234468,TwistedFate,2245,1978,29278,False,8,11,4,1035.2473120426412,1.0909090909090908,0.48
14.2.556.3141,MATCHED_GAME,CLASSIC,4906330318,Ahri,8726,3551,23548,True,10,3,10,935.82289627358,6.666666666666667,0.6896551724137931
14.2.556.3141,MATCHED_GAME,CLASSIC,4907899557,Ahri,8276,3924,32499,True,6,9,16,901.7227153808569,2.4444444444444446,0.44
14.2.556.3141,MATCHED_GAME,CLASSIC,4908039654,Ahri,311,0,19978,False,6,9,2,801.5072244850654,0.8888888888888888,0.5
14.2.556.3141,MATCHED_GAME,CLASSIC,4908080332,Ahri,5635,3747,19131,True,2,3,4,616.463539662301,2.0,0.23076923076923078
14.2.556.3141,MATCHED_GAME,CLASSIC,4910060807,Ahri,5595,4876,15376,False,5,2,0,672.862968087558,2.5,0.5
14.2.556.3141,MATCHED_GAME,CLASSIC,4912007447,Ahri,8912,1064,23042,False,6,7,9,711.9855584294213,2.142857142857143,0.38461538461538464
14.2.556.3141,MATCHED_GAME,CLASSIC,4913687688,Ahri,6479,6205,34606,True,14,5,11,1463.579181984504,5.0,0.5813953488372093
14.2.556.3141,MATCHED_GAME,CLASSIC,4913732097,Sylas,5794,0,25312,False,5,12,8,727.9009842273418,1.0833333333333333,0.48148148148148145
14.2.556.3141,MATCHED_GAME,CLASSIC,4913820415,Ahri,9745,3890,27907,True,13,7,10,892.8188955570586,3.2857142857142856,0.48936170212765956
14.2.556.3141,MATCHED_GAME,CLASSIC,4913861357,Renata,4075,822,6728,True,1,1,11,400.29178245162075,12.0,0.631578947368421
14.2.556.3141,MATCHED_GAME,CLASSIC,4913893235,Ahri,0,0,146,False,0,0,0,82.41661205387824,0.0,
14.2.556.3141,MATCHED_GAME,CLASSIC,4913898636,Ahri,8160,1808,33201,False,8,12,15,933.9948213556527,1.9166666666666667,0.5476190476190477
14.3.558.8314,MATCHED_GAME,CLASSIC,4916317461,Ahri,9544,5102,39582,False,8,8,14,951.25984745466,2.75,0.5365853658536586
14.3.558.8314,MATCHED_GAME,CLASSIC,4919726469,Ahri,3922,1800,25284,False,5,9,7,657.9087930090483,1.3333333333333333,0.375
14.3.558.8314,MATCHED_GAME,CLASSIC,4919988462,Ahri,5783,3663,23791,True,6,5,7,837.9438282576688,2.6,0.35135135135135137
14.3.558.8314,MATCHED_GAME,CLASSIC,4920772182,Ahri,1463,1463,14060,False,3,5,6,519.0000498107127,1.8,0.42857142857142855
14.3.558.8314,MATCHED_GAME,CLASSIC,4922672501,Ahri,6280,4076,24486,True,2,6,7,891.162974125692,1.5,0.32142857142857145
14.3.558.8314,MATCHED_GAME,CLASSIC,4922710237,Ahri,2109,2109,40257,False,16,7,5,1098.8450107531155,3.0,0.7
14.3.558.8314,MATCHED_GAME,CLASSIC,4924001863,Ahri,9601,5079,18743,True,9,3,6,692.1586592051178,5.0,0.30612244897959184
14.3.558.8314,MATCHED_GAME,CLASSIC,4924050178,Ahri,5814,1764,21173,False,3,8,9,701.241685922455,1.5,0.36363636363636365
14.3.558.8314,MATCHED_GAME,CLASSIC,4924116841,Diana,16604,1455,25443,False,7,13,10,791.5124438043434,1.3076923076923077,0.4473684210526316
14.3.558.8314,MATCHED_GAME,CLASSIC,4925850851,Ahri,2721,2721,10496,True,1,1,1,471.24630618597257,2.0,0.08695652173913043
14.3.558.8314,MATCHED_GAME,CLASSIC,4925864103,Zyra,3357,1255,13944,True,1,6,14,593.8792961657413,2.5,0.4166666666666667
14.3.558.8314,MATCHED_GAME,CLASSIC,4925882749,Ahri,9051,6551,24644,True,5,8,11,735.2610656252069,2.0,0.5517241379310345
14.3.558.8314,MATCHED_GAME,CLASSIC,4925928750,Ahri,9782,6044,25509,False,9,8,13,819.8805011021182,2.75,0.6111111111111112
14.3.558.8314,MATCHED_GAME,CLASSIC,4926078549,Ahri,7534,3157,19393,True,7,4,8,722.1328243963308,3.75,0.375
14.3.558.8314,MATCHED_GAME,CLASSIC,4926118789,Sona,0,0,15285,False,2,8,6,670.352473685409,1.0,0.6666666666666666
14.3.558.8314,MATCHED_GAME,CLASSIC,4926542529,Ahri,9050,4239,20516,False,4,7,10,657.902743382102,2.0,0.30434782608695654
14.3.558.8314,MATCHED_GAME,CLASSIC,4926618168,Ahri,4362,2419,22486,False,5,3,2,911.8157652778464,2.3333333333333335,0.4375
14.3.558.8314,MATCHED_GAME,CLASSIC,4926650226,Ahri,5619,3784,25164,True,7,5,5,839.7308555463214,2.4,0.35294117647058826
14.3.558.8314,MATCHED_GAME,CLASSIC,4926679412,Ahri,11051,9577,16231,True,6,3,10,746.1271152747318,5.333333333333333,0.6956521739130435
14.3.558.8314,MATCHED_GAME,CLASSIC,4927228029,Sona,7211,2514,17184,True,4,4,23,561.5382630177112,6.75,0.5625
14.3.558.8314,MATCHED_GAME,CLASSIC,4927273495,Ahri,1310,1310,11619,True,1,1,9,602.1065708336733,10.0,0.3448275862068966
14.3.558.8314,MATCHED_GAME,CLASSIC,4927299715,Ahri,16180,5525,26464,True,7,5,15,840.9124181007556,4.4,0.5238095238095238
14.3.558.8314,MATCHED_GAME,CLASSIC,4927404421,Ahri,17491,6784,27414,True,6,8,13,752.7360460576066,2.375,0.48717948717948717
14.3.558.8314,MATCHED_GAME,CLASSIC,4927457395,Ahri,5156,492,25173,False,4,10,6,913.3050664853236,1.0,0.45454545454545453
14.3.558.8314,MATCHED_GAME,CLASSIC,4927521659,Ahri,5724,2084,16615,True,4,7,6,532.8938848848762,1.4285714285714286,0.2857142857142857
14.3.558.8314,MATCHED_GAME,CLASSIC,4927569201,Ahri,8415,3785,20005,True,3,8,13,624.6730615901887,2.0,0.37209302325581395
14.3.558.8314,MATCHED_GAME,CLASSIC,4927612249,Sylas,971,971,17888,True,11,6,7,831.9420095590367,3.0,0.5294117647058824
14.3.558.8314,MATCHED_GAME,CLASSIC,4928135410,Ahri,14203,10437,29968,False,7,8,9,879.5542837247887,2.0,0.4444444444444444
14.3.558.8314,MATCHED_GAME,CLASSIC,4928185366,Janna,0,0,0,False,0,0,0,0.0,0.0,
14.3.558.8314,MATCHED_GAME,CLASSIC,4928197040,Ahri,5932,3984,30435,False,9,9,7,1183.0002491116818,1.7777777777777777,0.5714285714285714
14.3.558.8314,MATCHED_GAME,CLASSIC,4928299153,Zeri,11426,8084,22845,True,5,3,12,858.2270001662152,5.666666666666667,0.5862068965517241
14.3.558.8314,MATCHED_GAME,CLASSIC,4928335005,Yasuo,0,0,22968,False,5,16,4,879.340800681514,0.5625,0.34615384615384615
14.3.558.8314,MATCHED_GAME,CLASSIC,4928458337,Ahri,5988,1959,22810,True,5,9,17,711.9935548717707,2.4444444444444446,0.5238095238095238
14.3.558.8314,MATCHED_GAME,CLASSIC,4928495258,Ahri,14495,6347,19673,True,7,2,9,749.3970448174499,8.0,0.5517241379310345
14.3.558.8314,MATCHED_GAME,CLASSIC,4928526134,Ahri,1375,613,16551,False,5,7,3,677.8645979329814,1.1428571428571428,0.38095238095238093
14.3.558.8314,MATCHED_GAME,CLASSIC,4929009534,Ahri,3989,3393,8637,True,5,2,5,536.8402613343133,5.0,0.38461538461538464
14.3.558.8314,MATCHED_GAME,CLASSIC,4929029414,Ahri,2100,2100,17282,False,6,9,3,663.0305880755168,1.0,0.391304347826087
14.3.558.8314,MATCHED_GAME,CLASSIC,4929053517,Ahri,2256,2052,20369,False,5,7,8,710.0086022957996,1.8571428571428572,0.43333333333333335
14.3.558.8314,MATCHED_GAME,CLASSIC,4929319500,Ahri,7156,1682,27084,True,7,4,13,924.7397794587455,5.0,0.5882352941176471
14.4.561.3953,MATCHED_GAME,CLASSIC,4929604502,Ahri,913,913,10201,False,4,4,3,521.7869421887264,1.75,0.5
14.4.561.3953,MATCHED_GAME,CLASSIC,4929628078,Ahri,9052,9052,14865,False,1,9,5,484.8145843580216,0.6666666666666666,0.3333333333333333
14.4.561.3953,MATCHED_GAME,CLASSIC,4929646240,Morgana,914,914,28416,False,9,13,18,730.1418227181335,2.076923076923077,0.6923076923076923
14.4.561.3953,MATCHED_GAME,CLASSIC,4929674431,Ahri,11065,5286,18210,True,4,4,12,759.3885769362472,4.0,0.6153846153846154
14.4.561.3953,MATCHED_GAME,CLASSIC,4929694614,Ahri,8172,2885,40927,True,6,7,17,1214.955396351927,3.2857142857142856,0.5476190476190477
14.4.561.3953,MATCHED_GAME,CLASSIC,4929730480,Ahri,11530,5462,36831,True,7,5,13,825.1139358399895,4.0,0.4878048780487805
14.4.561.3953,MATCHED_GAME,CLASSIC,4929769431,Ahri,12286,4680,29075,True,5,6,9,773.0975375370671,2.3333333333333335,0.32558139534883723
14.4.561.3953,MATCHED_GAME,CLASSIC,4930101520,Sylas,1626,1626,35234,True,9,15,14,922.1547184922266,1.5333333333333334,0.4423076923076923
14.4.561.3953,MATCHED_GAME,CLASSIC,4930144888,Ahri,19690,4238,32808,True,9,8,16,1002.9819631832133,3.125,0.5952380952380952
14.4.562.1960,MATCHED_GAME,CLASSIC,4930705920,Ahri,1811,1811,31111,False,9,7,4,982.6623453626524,1.8571428571428572,0.4642857142857143
14.4.562.1960,MATCHED_GAME,CLASSIC,4930747784,Janna,83,0,2671,False,1,5,1,112.09983745921858,0.4,0.2857142857142857
14.4.562.1960,MATCHED_GAME,CLASSIC,4930774972,Ahri,4421,3016,22712,True,8,6,10,924.5039513929793,3.0,0.5294117647058824
14.4.562.1960,MATCHED_GAME,CLASSIC,4930810849,Senna,6094,4157,23740,True,7,5,13,813.3906955405533,4.0,0.6060606060606061
