63,2022-01-19 23:37:57,2349,200,Morgana,Support,5,21,11,523,6336,15,False,505
64,2022-01-20 00:23:51,199,100,Morgana,Support,0,0,0,0,6,0,True,520
65,2022-01-20 00:32:31,1818,100,Morgana,Support,5,12,6,596,1327,5,False,505
66,2022-01-20 10:46:32,2137,200,Janna,Jungle,0,16,13,504,12681,12,False,490
67,2022-01-20 11:30:20,2283,100,Janna,Support,0,17,6,561,16425,14,True,505
68,2022-01-20 12:31:21,2801,100,Morgana,Support,6,34,11,687,5412,17,False,490
69,2022-01-20 13:27:42,2849,100,Lulu,Support,1,26,2,1716,2093,18,True,505
70,2022-01-20 15:40:30,2046,200,Morgana,Support,3,13,7,735,3943,10,True,520
71,2022-01-20 16:48:14,1775,200,Lulu,Support,2,23,5,680,4010,8,True,535
72,2022-01-20 18:07:48,1501,100,Morgana,Support,0,6,5,669,1124,7,False,520
73,2022-01-20 18:47:19,1474,200,Morgana,Support,5,14,7,316,3080,6,True,535
74,2022-01-20 19:41:49,929,100,Lulu,Support,2,6,0,0,383,2,True,550
75,2022-01-21 16:20:45,1867,100,Lulu,Support,1,5,5,609,3739,3,False,535
76,2022-01-22 23:42:04,1877,200,Morgana,Support,2,8,6,553,2666,15,True,550
77,2022-01-23 21:10:25,1543,200,Morgana,Support,3,6,7,555,2060,12,False,535
78,2022-01-24 15:51:48,1652,100,Morgana,Support,2,6,2,1403,3249,13,False,520
79,2022-01-24 16:36:35,2111,200,Janna,Support,1,23,12,338,6755,12,True,535
80,2022-01-24 18:51:45,943,100,Morgana,Support,0,5,0,0,731,6,True,550
81,2022-01-24 19:14:18,1072,200,Morgana,Support,2,12,5,286,1019,1,False,535
82,2022-01-24 19:38:14,2311,200,Morgana,Support,3,23,4,649,7223,9,True,550
83,2022-01-24 20:30:44,1690,100,Morgana,Support,1,6,7,710,1297,5,False,535
84,2022-01-24 22:54:56,1235,100,Morgana,Support,0,3,5,442,1006,7,False,520
85,2022-01-24 22:26:22,1372,100,Morgana,Support,3,8,2,949,1777,4,True,535
86,2022-01-24 23:27:08,2042,200,Janna,Support,0,23,11,392,9992,3,False,520
87,2022-01-25 17:16:31,1645,100,Janna,Support,1,5,5,933,4638,12,False,505
88,2022-01-25 17:50:41,2394,200,Janna,Support,0,16,6,829,9410,9,True,520
89,2022-01-25 20:04:15,2097,100,Janna,Support,8,14,7,524,10247,8,False,505
90,2022-01-25 20:44:47,1552,200,Janna,Support,3,22,1,1074,7000,8,True,520
91,2022-01-25 21:18:25,1823,100,Janna,Support,3,30,4,473,7843,11,True,535
92,2022-01-25 21:56:51,1213,100,Janna,Support,2,23,2,503,5002,2,True,550
93,2022-01-25 22:28:59,1878,100,Morgana,Support,3,21,6,937,3072,6,True,565
94,2022-01-26 00:16:49,1293,200,Janna,Support,1,4,4,441,1974,8,False,550
95,2022-01-25 23:13:06,1599,100,Janna,Support,4,24,1,1120,7233,10,True,565
96,2022-01-26 00:06:57,195,200,Janna,Support,0,0,0,0,50,0,False,550
97,2022-01-26 09:42:49,1678,200,Janna,Support,1,13,2,1231,8025,9,True,565
98,2022-01-26 10:18:28,1508,100,Janna,Support,0,6,7,650,3141,6,False,550
99,2022-01-26 13:04:35,1272,200,Janna,Support,0,10,3,388,2879,3,True,565
100,2022-01-26 13:30:25,1313,200,Janna,Support,1,14,2,507,2723,7,True,580
101,2022-01-26 13:58:17,1790,100,Janna,Support,1,15,3,1104,5912,12,False,565
102,2022-01-26 15:39:19,1834,100,Janna,Support,1,16,8,521,6204,11,False,550
103,2022-01-26 16:16:58,1464,200,Janna,Support,2,11,2,932,6182,6,True,565
104,2022-01-26 16:52:07,1501,100,Janna,Support,3,9,5,407,4011,5,False,550
105,2022-01-26 20:35:18,1936,200,Janna,Support,1,22,5,611,7884,18,False,535
106,2022-01-26 21:15:55,1722,200,Janna,Support,0,3,7,434,6570,5,False,520
107,2022-01-27 09:44:33,1560,100,Janna,Support,3,6,6,695,4073,7,False,505
108,2022-01-27 10:56:31,1748,100,Morgana,Support,2,8,8,768,1407,7,False,490
109,2022-01-27 15:08:48,1784,100,Janna,Support,4,14,7,541,4478,6,False,475
110,2022-03-24 22:26:03,1349,100,Janna,Support,0,12,2,617,3910,7,True,490
111,2022-03-24 22:53:46,1448,200,Janna,Support,1,12,3,969,3333,12,True,505
112,2022-03-24 23:24:24,2942,100,Morgana,Support,1,31,12,430,4882,18,False,490
113,2022-03-25 13:34:46,1455,200,Janna,Support,1,4,4,459,5031,5,False,475
114,2022-03-25 14:05:04,1783,200,Seraphine,Jungle,1,23,1,1004,9292,14,True,490
115,2022-03-25 14:39:34,1567,100,Morgana,Support,10,15,5,469,4021,5,True,505
116,2022-03-25 15:12:00,1239,100,Morgana,Support,2,2,8,520,501,3,False,490
117,2022-03-25 15:52:59,1384,200,Senna,Support,1,7,6,325,3747,4,False,475
118,2022-03-25 16:22:26,1723,200,Morgana,Jungle,8,17,6,508,3708,5,True,490
119,2022-03-25 18:54:21,1651,100,Morgana,Support,4,21,5,501,2141,4,True,505
120,2022-03-25 19:27:30,1681,200,Seraphine,Support,5,13,5,400,4659,3,True,520
121,2022-03-25 20:34:50,1822,100,Morgana,Support,2,16,3,910,3192,11,False,505
122,2022-03-26 17:29:45,1963,100,Morgana,Support,10,13,12,286,4384,4,False,490
123,2022-03-26 18:08:25,1056,100,Morgana,Support,2,10,1,791,1166,2,True,505
124,2022-03-27 00:13:50,1914,100,Morgana,Support,7,8,4,1069,5364,6,True,520
125,2022-03-27 00:51:44,2078,200,Morgana,Support,5,8,15,273,1584,7,False,505
126,2022-03-27 19:16:26,1892,200,Morgana,Support,9,7,11,441,2456,8,False,490
127,2022-03-28 08:03:45,1499,100,Morgana,Support,2,11,2,482,2895,8,True,505
128,2022-03-28 08:38:38,2206,100,Zyra,Support,4,19,9,412,2398,9,True,520
129,2022-03-28 10:48:58,1642,100,Morgana,Support,4,24,3,442,2403,7,True,535
130,2022-03-28 11:22:33,1890,200,Seraphine,Support,2,2,5,891,1978,8,False,520
131,2022-03-28 18:07:18,1770,200,Lulu,Support,3,15,9,464,1969,5,False,505
132,2022-03-28 21:11:02,1924,200,Morgana,Support,2,10,6,522,2897,9,False,490
133,2022-03-28 22:33:32,2433,200,Janna,Support,1,15,10,890,8972,14,False,475
134,2022-03-28 21:51:05,1618,200,Sona,Support,3,15,3,808,12011,5,True,490
135,2022-03-28 23:38:08,1743,200,Senna,Support,2,10,5,641,7743,10,True,505
136,2022-03-29 09:49:27,1558,200,Seraphine,Support,1,6,7,394,3788,4,False,490
